Hash,vendorPartNo,imageName,TRSku,PUSku,category,model,description,unitPrice,TRQty,PUQty,ImageURL
50120-341-02,50120-341-02,50120-341-2,955811,855811,GOGGLES,RACECRAFT PLUS,RC PLUS GUSTAVIA SIL MIR LENS,55.25,22,522,https://3366283.app.netsuite.com/core/media/media.nl?id=128584&c=3366283&h=3a4a653797a837a11ee2
50121-101-01,50121-101-01,50121-101-1,956824,856824,GOGGLES,RACECRAFT,RACECRAFT 2 BLK CLR LENS,42.25,450,449,https://3366283.app.netsuite.com/core/media/media.nl?id=161187&c=3366283&h=YiRYNbJbqfK9TEILUWe0wPYzy3fKTsm1BNjG2CjLxoBSC-_p
50121-101-02,50121-101-02,50121-101-2,956825,856825,GOGGLES,RACECRAFT,RACECRAFT 2 BLU CLR LENS,42.25,364,605,https://3366283.app.netsuite.com/core/media/media.nl?id=161109&c=3366283&h=AwLlPaWmSr_gopzG2I6SHVRglmif0PxY7PAPI6cxljXjmk9R
50121-101-03,50121-101-03,50121-101-3,956826,856826,GOGGLES,RACECRAFT,RACECRAFT 2 RED CLR LENS,42.25,279,46,https://3366283.app.netsuite.com/core/media/media.nl?id=161575&c=3366283&h=HG3MOPsqcwuPg3iysxHW5RBl1jhMLDmkaRrlhdNXvcG2Yt5L
50121-101-04,50121-101-04,50121-101-4,956827,856827,GOGGLES,RACECRAFT,RACECRAFT 2 YEL CLR LENS,42.25,288,604,https://3366283.app.netsuite.com/core/media/media.nl?id=161336&c=3366283&h=nJ_xVzhnCi9nBblX7eINMr4l_2boXTBZXXT2r50P7WRjgKQn
50121-101-11,50121-101-11,50121-101-11,956828,856828,GOGGLES,RACECRAFT,RACECRAFT 2 AIRBLAST CLR LENS,42.25,307,566,https://3366283.app.netsuite.com/core/media/media.nl?id=160900&c=3366283&h=bXDPEPuANIRFxmeOR2JnH9QebBtrYpXeU_gQvTZmUDJKdVD3
50121-101-12,50121-101-12,50121-101-12,956829,856829,GOGGLES,RACECRAFT,RACECRAFT 2 FREMONT CLR LENS,42.25,297,622,https://3366283.app.netsuite.com/core/media/media.nl?id=161226&c=3366283&h=UtzANNi39pS8_SoT8EPKlHFXNhhKiszli5VpLepxJ1nHvI1x
50121-101-13,50121-101-13,50121-101-13,956830,856830,GOGGLES,RACECRAFT,RACECRAFT 2 KERV CLR LENS,42.25,340,399,https://3366283.app.netsuite.com/core/media/media.nl?id=161061&c=3366283&h=Wa3vQFhz9G0pp5cuRHwlzaXLVv6OvHGKeMpsJeNtccLao8AR
50121-101-14,50121-101-14,50121-101-14,956833,856833,GOGGLES,RACECRAFT,RACECRAFT 2 ST-KITH CLR LENS,42.25,430,135,https://3366283.app.netsuite.com/core/media/media.nl?id=161534&c=3366283&h=BGALNAJ-EOTqUCXOquLfy_Mz51fho6e4EPHWIghVyTjVyvXB
50121-101-15,50121-101-15,50121-101-15,956831,856831,GOGGLES,RACECRAFT,RACECRAFT 2 COSTUME 2 CLR LENS,42.25,274,856,https://3366283.app.netsuite.com/core/media/media.nl?id=161369&c=3366283&h=2L0A38wYw0EIzuESvo8oMVhLCN6FDO7trbmeXTR2WDhK0K33
50121-101-16,50121-101-16,50121-101-16,956832,856832,GOGGLES,RACECRAFT,RACECRAFT 2 MILORI CLR LENS,42.25,498,692,https://3366283.app.netsuite.com/core/media/media.nl?id=160732&c=3366283&h=bQVtyf9GklNbvO9GoFPJPkR7R5bwISSkm7mlq_C4GLp-n9s7
50121-250-02,50121-250-02,50121-250-2,956834,856834,GOGGLES,RACECRAFT,RACECRAFT 2 BLU MIR BLU LENS,48.75,1554,863,https://3366283.app.netsuite.com/core/media/media.nl?id=160569&c=3366283&h=MfmfvbIG3fxzjAO49PvvWvLTgNj5MfuGvbyLQlpjCakP69qW
50121-250-12,50121-250-12,50121-250-12,956835,856835,GOGGLES,RACECRAFT,RACECRAFT 2 FREMONT MIR BLU,48.75,550,239,https://3366283.app.netsuite.com/core/media/media.nl?id=161454&c=3366283&h=UPGvPEYBfKmt5s30wnNt4cACcOdtLw8Jo6_vXC80OKt3QmTW
50121-251-03,50121-251-03,50121-251-3,956836,856836,GOGGLES,RACECRAFT,RACECRAFT 2 RED MIR RED LENS,48.75,1650,425,https://3366283.app.netsuite.com/core/media/media.nl?id=161589&c=3366283&h=5xsMv7oSo0bZOzx0YusbOHsoLe_CxmYzE-4QGGNT8O6vNAQh
50121-251-04,50121-251-04,50121-251-4,956837,856837,GOGGLES,RACECRAFT,RACECRAFT 2 YEL MIR RED LENS,48.75,1036,67,https://3366283.app.netsuite.com/core/media/media.nl?id=161123&c=3366283&h=UZBd6ioZ7XLHiygMkJS1tCMsuNWJbVlFodTtun0Gsyqtz5FJ
